datetime,auth_node,sub_node,same_auth_sub,local_pow,timeToSync,timeToReceiveMessage,packet_size_bytes
1648591031289,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,120,1681,32
1648591032441,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,102,989,32
1648591034332,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,101,1742,32
1648591038150,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,90,3680,32
1648591039375,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,102,1074,32
1648591052668,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,105,13133,32
1648591059910,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,158,7028,32
1648591175015,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,254,306,2
1648591175643,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,98,479,2
1648591177584,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,84,1802,2
1648591181612,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,215,3764,2
1648591188641,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,98,6882,2
1648591189203,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,105,401,2
1648591191638,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,108,2277,2
1648591194582,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,176,2698,2
1648591199102,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,179,4242,2
1648591200709,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,132,1425,2
1648591203335,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,119,2466,4
1648591207458,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,154,3896,4
1648591208441,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,112,826,4
1648591209424,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,150,783,4
1648591213242,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,112,3656,4
1648591215957,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,107,2558,4
1648591218152,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,199,1898,4
1648591220252,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,186,1817,4
1648591223658,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,140,3200,4
1648591226576,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,110,2753,4
1648591233181,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,98,6440,8
1648591236468,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,108,3134,8
1648591240002,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,181,3295,8
1648591241146,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,96,982,8
1648591244855,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,149,3477,8
1648591245654,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,188,545,8
1648591246251,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,169,367,8
1648591248043,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,107,1632,8
1648591250001,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,94,1797,8
1648591251002,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,102,848,8
1648591252424,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,103,1268,16
1648591261653,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,102,9079,16
1648591262344,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,97,540,16
1648591268435,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,95,5941,16
1648591270304,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,104,1716,16
1648591270803,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,100,350,16
1648591272534,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,99,1581,16
1648591279985,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,94,7307,16
1648591281862,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,84,1739,16
1648591283035,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,99,1020,16
1648591288119,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,99,4936,32
1648591289294,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,138,991,32
1648591290153,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,99,708,32
1648591291046,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,72,772,32
1648591293803,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,77,2630,32
1648591294584,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,92,638,32
1648591295949,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,121,1186,32
1648591304674,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,136,8457,32
1648591306993,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,100,2169,32
